,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Farhiya Abdi,52,5,9.6,1.2,3.1,0.38299999999999995,0.2,0.8,0.25,1.0,2.3,0.426,0.3,0.4,0.682,0.2,0.8,1.0,0.4,0.2,0.1,0.4,1.2,2.9
1,Tajama Abraham,40,5,11.7,1.3,3.5,0.379,0.0,0.0,,1.3,3.5,0.379,0.9,1.3,0.642,0.9,1.0,1.9,0.3,0.4,0.3,1.4,2.0,3.5
2,Svetlana Abrosimova,263,153,24.2,3.3,8.4,0.395,0.9,2.5,0.35,2.4,5.9,0.415,1.6,2.5,0.654,1.2,2.9,4.1,2.1,1.3,0.2,2.4,2.3,9.2
3,Natalie Achonwa,120,68,18.2,3.0,5.5,0.542,0.0,0.0,,3.0,5.5,0.542,1.5,2.0,0.768,1.5,2.7,4.2,0.8,0.6,0.5,1.0,2.2,7.5
4,Jessica Adair,51,1,9.9,1.3,2.8,0.45399999999999996,0.0,0.0,,1.3,2.8,0.45399999999999996,1.1,1.7,0.625,1.1,1.6,2.7,0.3,0.2,0.4,0.8,1.6,3.6
5,Danielle Adams,174,45,19.1,3.7,8.7,0.42200000000000004,1.1,3.3,0.332,2.6,5.5,0.47600000000000003,2.0,2.7,0.757,1.3,2.5,3.9,0.8,0.6,0.6,1.2,2.4,10.5
6,Jordan Adams,10,0,9.6,1.3,3.3,0.39399999999999996,0.5,1.2,0.41700000000000004,0.8,2.1,0.381,0.2,0.2,1.0,1.0,1.3,2.3,0.4,0.2,0.3,1.0,1.0,3.3
7,Elisa Aguilar,28,0,5.0,0.5,1.2,0.424,0.4,0.8,0.524,0.1,0.4,0.25,0.1,0.3,0.5710000000000001,0.0,0.4,0.4,0.6,0.1,0.1,0.4,0.2,1.5
8,Matee Ajavon,323,104,17.4,2.3,6.6,0.34700000000000003,0.4,1.7,0.266,1.8,4.9,0.375,1.9,2.5,0.782,0.6,1.1,1.8,1.8,1.0,0.1,1.7,2.2,6.9
9,Evelyn Akhator,15,0,4.1,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.3,0.4,0.833,0.5,0.1,0.6,0.0,0.1,0.2,0.3,0.4,0.9
10,Marcie Alberts,5,0,6.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,,0.0,0.2,0.2,0.6,0.4,0.0,0.6,0.4,0.0
11,Markita Aldridge,65,2,10.6,0.9,2.4,0.363,0.1,0.5,0.257,0.7,1.9,0.39299999999999996,0.4,0.9,0.5,0.3,0.6,1.0,1.0,0.4,0.2,1.1,1.1,2.3
12,Erin Alexander,20,0,7.1,0.6,2.2,0.273,0.6,1.8,0.314,0.1,0.5,0.111,0.2,0.2,1.0,0.4,0.5,0.9,0.5,0.2,0.0,0.6,0.9,2.0
13,Kayla Alexander,184,11,12.5,1.7,3.3,0.505,0.0,0.0,,1.7,3.3,0.505,0.8,1.1,0.769,1.2,1.8,3.0,0.3,0.2,0.5,0.9,1.6,4.2
14,Tawona Alhaleem,26,1,9.7,0.7,2.2,0.32799999999999996,0.2,0.4,0.364,0.6,1.8,0.319,0.3,0.5,0.5,0.6,0.9,1.5,0.5,0.4,0.0,1.1,0.8,1.9
15,Charel Allen,6,0,8.2,1.2,2.7,0.43799999999999994,0.3,1.0,0.33299999999999996,0.8,1.7,0.5,0.0,0.0,,0.3,0.7,1.0,0.5,0.2,0.0,1.0,0.8,2.7
16,Lindsay Allen,52,6,14.1,1.0,2.6,0.37799999999999995,0.0,0.6,0.034,1.0,2.0,0.47200000000000003,0.5,0.7,0.706,0.3,1.1,1.4,2.5,0.6,0.0,0.8,0.8,2.4
17,Rebecca Allen,84,6,10.8,1.5,3.7,0.4,0.5,1.4,0.36200000000000004,1.0,2.3,0.423,0.4,0.5,0.7829999999999999,0.5,1.4,1.9,0.4,0.4,0.4,0.6,1.3,3.9
18,Ameryst Alston,3,0,1.0,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.0,0.0,,0.3,0.3,0.7,0.3,0.0,0.0,0.3,0.0,0.7
19,Mactabene Amachree,12,0,4.4,0.3,0.9,0.273,0.0,0.0,,0.3,0.9,0.273,0.4,0.7,0.625,0.4,0.8,1.3,0.0,0.4,0.3,0.8,0.4,0.9
20,Monique Ambers,21,0,4.2,0.2,0.4,0.444,0.0,0.0,,0.2,0.4,0.444,0.3,0.7,0.4,0.5,0.5,1.0,0.2,0.0,0.1,0.3,0.7,0.7
21,Ambrosia Anderson,4,0,2.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,,0.3,0.8,1.0,0.0,0.3,0.0,0.3,0.0,0.0
22,Chantelle Anderson,124,40,12.7,1.6,3.4,0.469,0.0,0.0,,1.6,3.4,0.469,0.9,1.2,0.73,0.7,1.4,2.0,0.3,0.2,0.3,1.1,2.2,4.1
23,Jolene Anderson,24,7,15.3,1.5,5.3,0.278,0.7,2.9,0.23199999999999998,0.8,2.4,0.33299999999999996,0.5,0.6,0.733,0.5,2.0,2.4,1.1,0.3,0.0,0.7,0.7,4.0
24,Keisha Anderson,55,9,10.3,0.6,1.7,0.354,0.1,0.3,0.28600000000000003,0.5,1.5,0.366,0.4,0.5,0.7859999999999999,0.3,0.9,1.2,1.7,0.6,0.1,1.2,1.2,1.7
25,Mery Andrade,140,67,19.9,1.5,3.9,0.381,0.3,1.1,0.28800000000000003,1.2,2.8,0.419,0.9,1.3,0.7290000000000001,0.6,1.5,2.1,2.1,1.0,0.2,1.5,2.4,4.2
26,Yvette Angel,5,3,18.0,1.4,3.2,0.43799999999999994,0.0,1.0,0.0,1.4,2.2,0.636,0.0,0.6,0.0,0.4,1.4,1.8,2.2,0.8,0.2,1.6,1.2,2.8
