,name,position,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,clusters,ranking
14,Tawona Alhaleem,Forward-Guard,26,1,9.7,0.7,2.2,0.328,0.2,0.4,0.364,0.6,1.8,0.319,0.3,0.5,0.5,0.6,0.9,1.5,0.5,0.4,0.0,1.1,0.8,1.9,0,8
32,La'Tangela Atkinson,Forward-Guard,68,3,11.2,1.0,2.3,0.43,0.1,0.3,0.238,0.9,2.0,0.46,0.5,0.9,0.547,0.7,1.5,2.2,0.7,0.6,0.2,1.2,0.8,2.6,3,7
33,Morenike Atunrase,Forward-Guard,33,0,10.5,0.7,2.6,0.276,0.4,1.2,0.293,0.4,1.4,0.261,0.3,0.5,0.688,0.5,1.0,1.5,0.7,0.5,0.4,0.8,0.6,2.2,3,7
55,Alana Beard,Forward-Guard,404,399,29.9,4.4,10.2,0.435,0.7,2.1,0.337,3.7,8.0,0.46,2.1,2.7,0.7659999999999999,0.6,2.8,3.5,2.6,1.7,0.5,2.1,2.8,11.6,1,2
67,Agnieszka Bibrzycka,Forward-Guard,56,31,21.7,3.3,8.3,0.4,1.4,4.3,0.336,1.9,3.9,0.471,1.2,1.4,0.873,0.3,1.4,1.7,1.6,0.8,0.3,1.4,1.6,9.3,2,6
108,Edwina Brown,Forward-Guard,130,34,19.4,1.8,5.3,0.334,0.2,0.6,0.375,1.6,4.7,0.33,1.3,1.7,0.8029999999999999,1.0,1.7,2.7,2.2,0.9,0.2,1.9,2.1,5.1,6,5
128,Latasha Byears,Forward-Guard,252,95,18.7,3.3,6.3,0.515,0.0,0.1,0.233,3.2,6.2,0.52,1.1,1.8,0.635,2.1,2.7,4.8,0.8,1.0,0.2,1.5,2.9,7.7,2,6
140,Essence Carson,Forward-Guard,323,182,20.6,2.9,7.1,0.411,0.6,1.9,0.325,2.3,5.3,0.442,1.0,1.3,0.7979999999999999,0.6,1.7,2.3,1.2,0.8,0.3,1.1,1.4,7.5,2,6
142,Deborah Carter,Forward-Guard,48,13,15.0,1.5,4.7,0.314,0.3,1.2,0.241,1.2,3.5,0.339,0.6,0.8,0.775,0.9,1.6,2.5,0.6,0.6,0.1,1.2,1.9,3.9,3,7
146,Iziane Castro Marques,Forward-Guard,306,203,21.8,3.4,8.5,0.399,0.9,2.8,0.319,2.5,5.7,0.438,1.6,2.3,0.726,0.5,1.5,2.0,1.7,0.7,0.1,1.7,1.6,9.4,2,6
177,Marissa Coleman,Forward-Guard,319,162,21.0,2.3,6.3,0.371,1.0,2.9,0.342,1.3,3.4,0.395,1.1,1.4,0.762,0.8,2.3,3.1,1.3,0.7,0.3,1.2,1.7,6.7,2,6
186,Kahleah Copper,Forward-Guard,97,15,15.4,2.4,5.6,0.426,0.5,1.3,0.375,1.9,4.3,0.442,1.4,1.8,0.7909999999999999,0.4,2.0,2.4,0.6,0.4,0.1,1.0,1.6,6.7,3,7
191,Katie Cronin,Forward-Guard,11,0,12.1,0.8,2.7,0.3,0.4,1.2,0.308,0.5,1.5,0.294,0.2,0.6,0.28600000000000003,0.3,0.8,1.1,0.2,0.5,0.2,1.0,1.6,2.2,0,8
206,Kaela Davis,Forward-Guard,60,6,16.1,2.0,5.3,0.37,0.4,1.3,0.329,1.6,4.1,0.383,1.2,1.7,0.7120000000000001,0.4,1.3,1.7,1.2,0.4,0.1,1.4,1.9,5.6,3,7
211,Elena Delle Donne,Forward-Guard,159,152,31.4,6.9,14.8,0.466,1.4,3.7,0.387,5.4,11.0,0.493,5.2,5.6,0.934,1.6,5.1,6.7,1.7,0.8,1.6,1.2,1.8,20.4,4,3
227,Katie Douglas,Forward-Guard,412,387,30.7,4.7,11.3,0.415,1.8,4.8,0.3670000000000001,2.9,6.5,0.45,2.4,3.0,0.805,1.1,2.7,3.8,2.6,1.5,0.3,2.0,1.7,13.5,1,2
236,Teresa Edwards,Forward-Guard,68,68,22.8,2.0,5.4,0.3720000000000001,0.7,2.4,0.297,1.3,3.0,0.433,0.8,1.0,0.743,0.8,2.1,2.9,3.3,1.3,0.3,2.7,1.4,5.5,7,4
246,Trisha Fallon,Forward-Guard,57,16,19.7,2.6,5.9,0.445,0.4,0.9,0.389,2.3,5.0,0.456,1.3,1.7,0.792,0.8,1.0,1.7,1.0,0.8,0.3,1.1,1.3,7.0,2,6
262,Kisha Ford,Forward-Guard,124,4,14.6,1.3,3.6,0.366,0.1,0.4,0.149,1.3,3.2,0.392,0.9,1.5,0.602,0.9,0.9,1.8,0.7,0.9,0.1,0.8,2.0,3.6,3,7
281,Pietra Gay,Forward-Guard,5,0,2.4,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.4,1.0,0.4,0.0,0.6,0.6,0.4,0.2,0.0,0.8,0.6,0.8,0,8
283,Katie Gearlds,Forward-Guard,87,3,13.2,1.5,4.0,0.382,0.9,2.4,0.38,0.6,1.6,0.384,0.5,0.6,0.8079999999999999,0.3,1.1,1.4,0.6,0.3,0.1,0.5,0.7,4.4,3,7
287,Kelley Gibson,Forward-Guard,100,8,8.5,0.6,1.7,0.318,0.3,0.9,0.341,0.3,0.9,0.294,0.3,0.4,0.722,0.2,0.6,0.8,0.4,0.2,0.2,0.5,0.7,1.7,0,8
326,Angie Hamblin,Forward-Guard,6,0,4.8,0.3,1.3,0.25,0.2,0.3,0.5,0.2,1.0,0.16699999999999998,0.2,0.3,0.5,0.3,0.8,1.2,0.3,0.2,0.0,1.2,0.7,1.0,0,8
