,name,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Farhiya Abdi,LAS,21,17,0,7.2,0.9,2.3,.385,0.0,0.0,,0.9,2.3,.385,0.5,0.7,.667,0.2,0.5,0.7,0.5,0.1,0.1,0.2,0.9,2.2
1,Farhiya Abdi,LAS,22,17,0,8.4,1.1,2.6,.432,0.1,0.4,.143,1.1,2.2,.486,0.2,0.2,1.000,0.2,0.4,0.5,0.3,0.1,0.0,0.4,0.9,2.5
2,Farhiya Abdi,LAS,23,18,5,13.2,1.6,4.4,.354,0.5,1.8,.273,1.1,2.6,.413,0.2,0.4,.571,0.3,1.4,1.7,0.5,0.4,0.1,0.7,1.7,3.8
3,Tajama Abraham,SAC,21,28,5,15.1,1.7,4.5,.381,0.0,0.0,,1.7,4.5,.381,0.9,1.4,.684,1.1,1.3,2.4,0.5,0.4,0.4,1.8,2.5,4.4
4,Tajama Abraham,DET,22,12,0,3.7,0.4,1.2,.357,0.0,0.0,,0.4,1.2,.357,0.7,1.3,.533,0.2,0.4,0.6,0.0,0.2,0.1,0.4,0.7,1.5
5,Svetlana Abrosimova,MIN,20,26,23,32.5,4.4,11.3,.389,0.7,2.9,.250,3.7,8.3,.438,3.7,5.1,.727,1.7,5.0,6.7,2.0,1.6,0.3,3.3,2.7,13.2
6,Svetlana Abrosimova,MIN,21,27,27,29.8,4.4,11.7,.377,0.7,2.2,.333,3.7,9.5,.387,2.1,4.3,.483,1.7,3.7,5.4,2.2,1.6,0.4,3.4,2.7,11.6
7,Svetlana Abrosimova,MIN,22,30,25,26.4,3.7,9.5,.393,0.8,2.7,.305,2.9,6.8,.429,2.3,3.3,.704,1.5,3.2,4.7,2.7,1.5,0.4,3.0,2.6,10.6
8,Svetlana Abrosimova,MIN,23,22,11,21.0,2.2,6.3,.353,0.9,2.4,.377,1.3,3.9,.337,1.3,2.1,.609,0.8,2.6,3.4,2.0,1.4,0.1,2.0,1.9,6.6
9,Svetlana Abrosimova,MIN,24,31,31,25.1,3.5,8.9,.395,1.1,2.6,.402,2.5,6.3,.392,1.7,2.4,.726,0.9,2.5,3.5,1.9,1.5,0.2,2.6,2.8,9.8
10,Svetlana Abrosimova,MIN,25,34,2,21.2,2.9,7.1,.411,0.7,1.9,.369,2.2,5.2,.426,1.2,1.8,.661,1.3,1.8,3.1,1.6,1.0,0.0,1.8,1.9,7.7
11,Svetlana Abrosimova,MIN,26,34,29,24.8,3.9,8.8,.443,1.3,3.0,.446,2.6,5.8,.442,1.1,1.3,.837,1.6,2.9,4.4,2.5,1.3,0.1,2.0,2.5,10.1
12,Svetlana Abrosimova,CON,27,6,0,17.8,1.8,6.0,.306,0.3,2.0,.167,1.5,4.0,.375,1.7,2.0,.833,0.5,2.8,3.3,2.0,1.3,0.0,1.8,2.2,5.7
13,Svetlana Abrosimova,SEA,29,34,1,20.2,2.9,6.9,.415,1.1,3.0,.376,1.7,3.9,.444,0.7,1.3,.568,0.7,2.4,3.1,2.0,1.2,0.1,1.8,2.1,7.6
14,Svetlana Abrosimova,SEA,31,19,4,17.3,1.8,5.2,.347,0.4,1.9,.222,1.4,3.3,.419,0.6,1.3,.458,0.6,2.4,2.9,1.6,1.1,0.2,2.1,1.4,4.6
15,Natalie Achonwa,IND,22,28,17,17.3,3.1,5.7,.550,0.0,0.0,,3.1,5.7,.550,1.7,2.3,.746,1.4,2.0,3.5,0.6,0.5,0.5,1.3,2.1,8.0
16,Natalie Achonwa,IND,23,24,0,8.1,1.5,2.8,.545,0.0,0.0,,1.5,2.8,.545,0.6,0.8,.700,0.7,1.3,2.0,0.3,0.4,0.0,0.5,1.1,3.6
17,Natalie Achonwa,IND,24,34,17,18.3,2.9,5.2,.557,0.0,0.0,,2.9,5.2,.557,1.3,1.7,.763,1.1,2.6,3.7,0.7,0.4,0.5,0.9,2.2,7.1
