,name,position
0,Farhiya Abdi,Forward
2,Tajama Abraham,Center
4,Svetlana Abrosimova,Forward
6,Natalie Achonwa,Forward
8,Jessica Adair,Center
10,Danielle Adams,Forward-Center
12,Jordan Adams,Center
14,Elisa Aguilar,Guard
16,Matee Ajavon,Guard
18,Evelyn Akhator,Forward
20,Marcie Alberts,Guard
22,Markita Aldridge,Guard
24,Erin Alexander,Guard
26,Kayla Alexander,Center
28,Tawona Alhaleem,Forward-Guard
30,Charel Allen,Guard
32,Lindsay Allen,Guard
34,Rebecca Allen,Guard
38,Mactabene Amachree,Forward
40,Monique Ambers,Forward
42,Ambrosia Anderson,Forward
44,Chantelle Anderson,Center
46,Jolene Anderson,Guard
48,Keisha Anderson,Guard
50,Mery Andrade,Forward
52,Yvette Angel,Guard
54,Nicky Anosike,Forward-Center
57,Jayne Appel-Marinelli,Center
58,Janeth Arcain,Guard
61,Katasha Artis,Forward
63,Marlies Askamp,Center
65,Ariel Atkins,Guard
67,La'Tangela Atkinson,Guard-Forward
69,Morenike Atunrase,Guard-Forward
71,Seimone Augustus,Guard
73,Valeriane Ayayi,Forward
75,Angela Aycock,Guard
77,Miranda Ayim,Forward
79,Leigh Aziz,Forward
81,Jennifer Azzi,Guard
83,Tricia Bader Binford,Guard
85,Sherill Baker,Guard
87,Alison Bales,Center
89,Rhonda Banchero,Center
91,Rachel Banham,Guard
93,Elena Baranova,Forward
95,LaQuanda Barksdale,Guard
97,Adia Barnes,Forward
99,Quacy Barnes,Center
102,Mistie Bass,Forward
103,Suzy Batkovic-Brown,Center
105,Jacqueline Batteast,Forward
107,Ashley Battle,Forward
109,Cass Bauer-Bilodeau,Center
111,Vicki Baugh,Forward-Center
113,Alana Beard,Guard-Forward
115,Ryneldi Becenti,Guard
117,Kimberly Beck,Guard
119,Evgeniya Belyakova,Forward
121,Hind Ben Abdelkader,Guard
123,Jenni Benningfield,Forward
125,Alex Bentley,Guard
127,Val Berezhynska,Center
129,Lucienne Berthieu,Forward-Center
131,Tully Bevilaqua,Guard
133,Tiffany Bias,Guard
135,Jessica Bibby,Guard
137,Agnieszka Bibrzycka,Guard-Forward
139,Monique Billings,Forward
141,Sue Bird,Guard
143,Abby Bishop,Forward
145,Nina Bjedov,Center
147,Angie Bjorklund,Forward
149,Tera Bjorklund,Center
151,Chante Black,Center
153,Debbie Black,Guard
155,Rhonda Blades,Guard
157,Cindy Blodgett,Guard
159,Nikki Blue,Guard
161,Octavia Blue,Forward
163,Shannon Bobbitt,Guard
165,Whitney Boddie,Guard
167,Ruthie Bolton,Guard
169,LaToya Bond,Guard
171,Kelsey Bone,Center
173,Susanna Bonfiglio,Guard
175,DeWanna Bonner,Forward
177,Karen Booker,Center
179,Jenny Boucek,Guard
181,Kelly Boucher,Forward
183,Lindsay Bowen,Guard
185,Brittany Boyd,Guard
187,Carla Boyd,Forward
189,Crystal Bradford,Guard
191,Gennifer Brandon,Forward
193,Albena Branzova,Forward
195,Gergana Branzova,Forward
197,Cierra Bravard,Forward
199,Janice Braxton,Forward
201,Kara Braxton,Center-Forward
203,Angie Braziel,Forward
205,Razija Brcaninovic,Center
207,Jessica Breland,Forward
209,Reshea Bristol,Guard
211,Michelle Brogan,Forward
213,Sandy Brondello,Guard
215,Cindy Brown,Forward
217,Coretta Brown,Guard
219,Edwina Brown,Guard-Forward
221,Kiesha Brown,Guard
223,La'Shawn Brown,Center
225,Lesley Brown,Forward
227,Lexie Brown,Guard
229,Rushia Brown,Forward
231,Marla Brumfield,Guard
233,Jessica Brungo,Forward
237,Rebekkah Brunson,Forward
239,Adut Bulgak,Center
241,Vicky Bullett,Forward
243,Cierra Burdick,Forward
245,Heather Burge,Center
247,Heidi Burge,Forward-Center
249,Annie Burgess,Guard
251,Linda Burgess,Forward
253,Alisa Burras,Center
255,Janell Burse,Center
257,Heather Butler,Guard
259,Tasha Butts,Forward
261,Latasha Byears,Guard-Forward
263,Kelley Cain,Center
265,Liz Cambage,Center
267,Edna Campbell,Guard
269,Michelle Campbell,Center
271,Michelle Campbell,Forward
273,Jordin Canada,Guard
275,Emma Cannon,Forward
277,Dominique Canty,Guard
279,Jamie Carey,Guard
281,Essence Carson,Forward-Guard
283,Amisha Carter,Forward
285,Deborah Carter,Guard-Forward
287,Sydney Carter,Guard
289,Swin Cash,Forward
291,Jamie Cassidy,Center
293,Iziane Castro Marques,Forward-Guard
295,Tamika Catchings,Forward
297,LaNeishea Caufield,Guard
299,Elisabeth Cebrian,Center
301,Keri Chaconas,Guard
303,Cori Chambers,Guard
305,Quianna Chaney,Guard
307,Jill Chapman-Daily,Center
309,Daedra Charles,Forward-Center
311,Tina Charles,Center
313,Sonia Chase,Guard
