,name,slug
0,Farhiya Abdi,a/abdifa01w.html
1,Tajama Abraham,a/abrahta01w.html
2,Svetlana Abrosimova,a/abrossv01w.html
3,Natalie Achonwa,a/achonna01w.html
4,Jessica Adair,a/adairje01w.html
5,Danielle Adams,a/adamsda01w.html
6,Jordan Adams,a/adamsjo01w.html
7,Elisa Aguilar,a/aguilel01w.html
8,Matee Ajavon,a/ajavoma01w.html
9,Evelyn Akhator,a/akhatev01w.html
10,Marcie Alberts,a/alberma01w.html
11,Markita Aldridge,a/aldrima01w.html
12,Erin Alexander,a/alexaer01w.html
13,Kayla Alexander,a/alexaka01w.html
14,Tawona Alhaleem,a/alhalta01w.html
15,Charel Allen,a/allench01w.html
16,Lindsay Allen,a/allenli01w.html
17,Rebecca Allen,a/allenre01w.html
18,Ameryst Alston,a/alstoam01w.html
19,Mactabene Amachree,a/amachma01w.html
20,Monique Ambers,a/ambermo01w.html
21,Ambrosia Anderson,a/anderam01w.html
22,Chantelle Anderson,a/anderch01w.html
23,Jolene Anderson,a/anderjo01w.html
24,Keisha Anderson,a/anderke01w.html
25,Mery Andrade,a/andrame01w.html
26,Yvette Angel,a/angelyv01w.html
27,Nicky Anosike,a/anosini01w.html
28,Jayne Appel-Marinelli,a/appelja01w.html
29,Janeth Arcain,a/arcaija01w.html
30,Anne Marie Armstrong,m/mariean01w.html
31,Katasha Artis,a/artiska01w.html
32,Marlies Askamp,a/askamma01w.html
33,Ariel Atkins,a/atkinar01w.html
34,La'Tangela Atkinson,a/atkinla01w.html
35,Morenike Atunrase,a/atunrmo01w.html
36,Seimone Augustus,a/augusse01w.html
37,Valeriane Ayayi,a/ayayiva01w.html
38,Angela Aycock,a/aycocan01w.html
39,Miranda Ayim,a/ayimmi01w.html
40,Leigh Aziz,a/azizle01w.html
41,Jennifer Azzi,a/azzije01w.html
42,Tricia Bader Binford,b/badertr01w.html
43,Sherill Baker,b/bakersh01w.html
44,Alison Bales,b/balesal01w.html
45,Rhonda Banchero,b/banchrh01w.html
46,Rachel Banham,b/banhara01w.html
47,Elena Baranova,b/baranel01w.html
48,LaQuanda Barksdale,b/barksla01w.html
49,Adia Barnes,b/barnead01w.html
50,Quacy Barnes,b/barnequ01w.html
51,Mistie Bass,b/bassmi01w.html
52,Suzy Batkovic-Brown,b/batkosu01w.html
53,Jacqueline Batteast,b/batteja01w.html
54,Ashley Battle,b/battlas01w.html
55,Cass Bauer-Bilodeau,b/bauerca01w.html
56,Vicki Baugh,b/baughvi01w.html
57,Alana Beard,b/beardal01w.html
58,Ryneldi Becenti,b/becenry01w.html
59,Kimberly Beck,b/beckki01w.html
60,Evgeniya Belyakova,b/belyaeu01w.html
61,Hind Ben Abdelkader,b/benahi01w.html
62,Jenni Benningfield,b/bennije01w.html
63,Alex Bentley,b/bentlal01w.html
64,Val Berezhynska,b/berezva01w.html
65,Lucienne Berthieu,b/berthlu01w.html
66,Tully Bevilaqua,b/beviltu01w.html
67,Tiffany Bias,b/biasti01w.html
68,Jessica Bibby,b/bibbyje01w.html
69,Agnieszka Bibrzycka,b/bibrzag01w.html
70,Monique Billings,b/billimo01w.html
71,Sue Bird,b/birdsu01w.html
72,Abby Bishop,b/bishoab01w.html
73,Nina Bjedov,b/bjedoni01w.html
74,Angie Bjorklund,b/bjorkan01w.html
75,Tera Bjorklund,b/bjorkte01w.html
76,Chante Black,b/blackch01w.html
77,Debbie Black,b/blackde01w.html
78,Rhonda Blades,b/bladerh01w.html
79,Cindy Blodgett,b/blodgci01w.html
80,Nikki Blue,b/blueni01w.html
81,Octavia Blue,b/blueoc01w.html
82,Shannon Bobbitt,b/bobbish01w.html
83,Whitney Boddie,b/boddiwh01w.html
84,Ruthie Bolton,b/boltoru01w.html
85,LaToya Bond,b/bondla01w.html
86,Kelsey Bone,b/boneke01w.html
87,Susanna Bonfiglio,b/bonfisu01w.html
88,DeWanna Bonner,b/bonnede01w.html
89,Karen Booker,b/bookeka01w.html
90,Jenny Boucek,b/bouceje01w.html
91,Kelly Boucher,b/bouchke01w.html
92,Lindsay Bowen,b/bowenli01w.html
93,Brittany Boyd,b/boydbr01w.html
94,Carla Boyd,b/boydca01w.html
95,Crystal Bradford,b/bradfcr01w.html
96,Gennifer Brandon,b/brandge01w.html
97,Albena Branzova,b/branzal01w.html
98,Gergana Branzova,b/branzge01w.html
99,Cierra Bravard,b/bravaci01w.html
100,Janice Braxton,b/braxtja01w.html
101,Kara Braxton,b/braxtka01w.html
102,Angie Braziel,b/brazian01w.html
103,Razija Brcaninovic,b/brcanra01w.html
104,Jessica Breland,b/brelaje01w.html
105,Reshea Bristol,b/bristre01w.html
106,Michelle Brogan,b/brogami01w.html
107,Sandy Brondello,b/brondsa01w.html
108,Cindy Brown,b/brownci01w.html
109,Coretta Brown,b/brownco01w.html
110,Edwina Brown,b/browned01w.html
111,Kiesha Brown,b/brownki01w.html
112,La'Shawn Brown,b/brownla01w.html
113,Lesley Brown,b/brownle01w.html
114,Lexie Brown,b/brownle02w.html
115,Rushia Brown,b/brownru01w.html
116,Marla Brumfield,b/brumfma01w.html
117,Jessica Brungo,b/brungje01w.html
118,Sophie Brunner,b/brunnso01w.html
119,Rebekkah Brunson,b/brunsre01w.html
120,Adut Bulgak,b/bulgaad01w.html
121,Vicky Bullett,b/bullevi01w.html
122,Cierra Burdick,b/burdici01w.html
123,Heather Burge,b/burgehe02w.html
124,Heidi Burge,b/burgehe01w.html
125,Annie Burgess,b/burgean01w.html
126,Linda Burgess,b/burgeli01w.html
127,Alisa Burras,b/burraal01w.html
128,Janell Burse,b/burseja01w.html
129,Heather Butler,b/butlehe01w.html
130,Tasha Butts,b/buttsta01w.html
131,Latasha Byears,b/byearla01w.html
132,Kelley Cain,c/cainke01w.html
133,Liz Cambage,c/cambael01w.html
134,Edna Campbell,c/campbed01w.html
135,Michelle Campbell,c/campbmi01w.html
136,Michelle Campbell,c/campbmi02w.html
137,Jordin Canada,c/canadjo01w.html
138,Emma Cannon,c/cannoem01w.html
139,Dominique Canty,c/cantydo01w.html
140,Jamie Carey,c/careyja01w.html
141,Essence Carson,c/carsoes01w.html
142,Amisha Carter,c/carteam01w.html
143,Deborah Carter,c/cartede01w.html
144,Sydney Carter,c/cartesy01w.html
145,Swin Cash,c/cashsw01w.html
146,Jamie Cassidy,c/cassija01w.html
147,Iziane Castro Marques,c/castriz01w.html
148,Tamika Catchings,c/catchta01w.html
149,LaNeishea Caufield,c/caufila01w.html
150,Elisabeth Cebrian,c/cebriel01w.html
151,Keri Chaconas,c/chacoke01w.html
152,Cori Chambers,c/chambco01w.html
153,Quianna Chaney,c/chanequ01w.html
154,Jill Chapman-Daily,c/chapmji01w.html
155,Daedra Charles,c/charlda01w.html
156,Tina Charles,c/charlti01w.html
157,Sonia Chase,c/chaseso01w.html
158,Joy Cheek,c/cheekjo01w.html
159,Felicia Chester,c/chestfe01w.html
160,Kaayla Chones,c/choneka01w.html
161,Saniya Chong,c/chongsa01w.html
162,Kayte Christensen,c/chriska01w.html
163,Karima Christmas-Kelly,c/chriska02w.html
164,Shameka Christon,c/chrissh01w.html
165,Kristi Cirone,c/cironkr01w.html
166,Layshia Clarendon,c/clarela01w.html
167,Alysha Clark,c/clarkal01w.html
168,Margold Clark,c/clarkma01w.html
169,Michelle Cleary,c/clearmi01w.html
170,Courtney Clements,c/clemeco01w.html
171,Stacy Clinesmith,c/clinest01w.html
172,Natasha Cloud,c/cloudna01w.html
173,Alaina Coates,c/coateal01w.html
174,Nia Coffey,c/coffeni01w.html
175,Claire Coggins,c/coggicl01w.html
176,Monique Coker,c/cokermo01w.html
177,Courtney Coleman,c/colemco01w.html
178,Marissa Coleman,c/colemma01w.html
179,Nadia Colhado,c/colhana01w.html
180,Katrina Colleton,c/colleka01w.html
181,Sydney Colson,c/colsosy01w.html
182,Megan Compain,c/compame01w.html
183,Andrea Congreaves,c/congran01w.html
184,Cara Consuegra,c/consuca01w.html
185,Camille Cooper,c/coopeca01w.html
186,Cynthia Cooper,c/coopecy01w.html
187,Kahleah Copper,c/coppeka01w.html
188,Carla Cortijo,c/cortica01w.html
189,Sylvia Crawley,c/crawlsy01w.html
190,Willnett Crockett,c/crockwi01w.html
191,Danielle Crockrom,c/crockda01w.html
192,Katie Cronin,c/cronika01w.html
193,Cassandra Crumpton-Moorer,c/crumpca01w.html
194,Anna Cruz,c/cruzan01w.html
195,Beth Cunningham,c/cunnibe01w.html
196,Davalyn Cunningham,c/cunnida01w.html
197,Monique Currie,c/currimo01w.html
198,Edniesha Curry,c/curryed01w.html
199,Ana Dabovic,d/dabonan01w.html
200,Stacey Dales,d/dalesst01w.html
201,Grace Daley,d/daleygr01w.html
202,Damiris Dantas,d/dantada01w.html
203,Helen Darling,d/darlihe01w.html
204,Jessica Davenport,d/davenje01w.html
205,Brandi Davis,d/davisbr01w.html
206,Dee Davis,d/davisde01w.html
207,Kaela Davis,d/daviska01w.html
208,Tanae Davis-Cain,d/davista01w.html
209,Clarissa Davis-Wrightsil,d/daviscl01w.html
210,Erika de Souza,d/desouer01w.html
211,Anna DeForge,d/deforan01w.html
212,Elena Delle Donne,d/delleel01w.html
213,Jennifer Derevjanik,d/derevje01w.html
214,Diamond DeShields,d/deshidi01w.html
215,Maimouna Diarra,d/diarrma01w.html
216,Keitha Dickerson,d/dickeke01w.html
217,Blake Dietrick,d/dietrbl01w.html
218,Skylar Diggins-Smith,d/diggisk01w.html
219,Tai Dillard,d/dillata01w.html
220,Zoi Dimitrakou,d/dimitzo01w.html
221,Tamecka Dixon,d/dixonta01w.html
222,Stefanie Dolson,d/dolsost01w.html
223,Nadine Domond,d/domonna01w.html
224,Bethany Donaphin,d/donapbe01w.html
225,Shay Doron,d/doronsh01w.html
226,Scholanda Dorrell,d/dorresc01w.html
227,Cintia dos Santos,d/dossaci01w.html
228,Clarissa Dos Santos,d/dossacl01w.html
229,Katie Douglas,d/douglka01w.html
230,Jelena Dubljevic,d/dubljje01w.html
231,Megan Duffy,d/duffyme01w.html
232,Celine Dumerc,d/dumercc01w.html
233,Victoria Dunlap,d/dunlavi01w.html
234,Candice Dupree,d/dupreca01w.html
235,Margo Dydek,d/dydekma01w.html
236,Michelle Edwards,e/edwarmi01w.html
237,Simone Edwards,e/edwarsi01w.html
238,Teresa Edwards,e/edwarte01w.html
239,Tonya Edwards,e/edwarto01w.html
240,Frida Eldebrink,e/eldebfr01w.html
241,Aaryn Ellenberg,e/ellenaa01w.html
242,Adaora Elonu,e/elonuad01w.html
243,Shyra Ely-Gash,e/elysh01w.html
244,Shalonda Enis,e/enissh01w.html
245,Makayla Epps,e/eppsma01w.html
246,Summer Erb,e/erbsu01w.html
247,Lauren Ervin,e/ervinla01w.html
248,Dawn Evans,e/evansda01w.html
249,Temi Fagbenle,f/fagbete01w.html
250,Trisha Fallon,f/fallotr01w.html
251,Kelly Faris,f/fariske01w.html
252,Barbara Farris,f/farriba01w.html
253,Jamierra Faulkner,f/faulkja01w.html
254,Allison Feaster,f/feastal01w.html
